Size: 31	Mflop/s: 6731.47
Size: 32	Mflop/s: 7097.05
Size: 96	Mflop/s: 14713.7
Size: 97	Mflop/s: 13712.1
Size: 127	Mflop/s: 14438.4
Size: 128	Mflop/s: 15015.6
Size: 129	Mflop/s: 14780.7
Size: 191	Mflop/s: 15354.1
Size: 192	Mflop/s: 16123.2
Size: 229	Mflop/s: 15785.2
Size: 255	Mflop/s: 15902.8
Size: 256	Mflop/s: 16182.3
Size: 257	Mflop/s: 15601
Size: 319	Mflop/s: 15729.1
Size: 320	Mflop/s: 15982.9
Size: 321	Mflop/s: 14042.4
Size: 417	Mflop/s: 15818.2
Size: 479	Mflop/s: 16063.6
Size: 480	Mflop/s: 16329.3
Size: 511	Mflop/s: 16058.8
Size: 512	Mflop/s: 15990.8
Size: 639	Mflop/s: 16329.9
Size: 640	Mflop/s: 16373.3
Size: 767	Mflop/s: 16345.5
Size: 768	Mflop/s: 16449.6
Size: 769	Mflop/s: 15893.8
