Size: 31	Mflop/s: 203.679
Size: 32	Mflop/s: 201.164
Size: 96	Mflop/s: 199.799
Size: 97	Mflop/s: 206.217
Size: 127	Mflop/s: 204.708
Size: 128	Mflop/s: 206.752
Size: 129	Mflop/s: 202.799
Size: 191	Mflop/s: 209.899
Size: 192	Mflop/s: 209.627
Size: 229	Mflop/s: 209.491
Size: 255	Mflop/s: 194.495
Size: 256	Mflop/s: 195.418
Size: 257	Mflop/s: 195.615
Size: 319	Mflop/s: 199.11
Size: 320	Mflop/s: 199.059
Size: 321	Mflop/s: 198.088
Size: 417	Mflop/s: 205.749
Size: 479	Mflop/s: 202.597
Size: 480	Mflop/s: 206.286
Size: 511	Mflop/s: 205.655
Size: 512	Mflop/s: 202.544
Size: 639	Mflop/s: 200.999
Size: 640	Mflop/s: 201.722
Size: 767	Mflop/s: 196.806
Size: 768	Mflop/s: 197.444
Size: 769	Mflop/s: 199.288
