Size: 31	Mflop/s: 960.055
Size: 32	Mflop/s: 972.064
Size: 96	Mflop/s: 884.536
Size: 97	Mflop/s: 876.556
Size: 127	Mflop/s: 913.641
Size: 128	Mflop/s: 845.391
Size: 129	Mflop/s: 888.415
Size: 191	Mflop/s: 906.125
Size: 192	Mflop/s: 928.354
Size: 229	Mflop/s: 919.516
Size: 255	Mflop/s: 899.707
Size: 256	Mflop/s: 925.021
Size: 257	Mflop/s: 921.468
Size: 319	Mflop/s: 923.088
Size: 320	Mflop/s: 933.967
Size: 321	Mflop/s: 927.724
Size: 417	Mflop/s: 922.453
Size: 479	Mflop/s: 913.967
Size: 480	Mflop/s: 917.94
Size: 511	Mflop/s: 917.178
Size: 512	Mflop/s: 820.447
Size: 639	Mflop/s: 753.575
Size: 640	Mflop/s: 744.975
Size: 767	Mflop/s: 722.201
Size: 768	Mflop/s: 716.255
Size: 769	Mflop/s: 722.816
